sid,loam,cala,ec,pjm,sta,apec,myba,imaca,imacb,claw,bul,fma
SD1030761,0,86,71,83,77,79,67,83,73,64,69,68
SD1030762,0,73,79,86,91,68,67,67,74,76,72,82
SD1030763,0,71,72,93,94,63,67,89,80,71,75,93
SD1030764,1,80,73,84,79,69,72,77,70,81,80,82
SD1030765,0,69,70,92,77,66,85,89,93,81,86,89
SD1030766,1,63,78,92,60,68,86,87,66,84,79,79
SD1030767,0,60,69,89,60,73,78,69,63,76,78,69
SD1030768,0,66,80,68,67,72,81,79,79,73,75,70
SD1030769,0,64,70,83,86,60,76,66,64,87,76,61
SD1030770,0,78,64,86,77,68,78,63,62,92,68,79
SD1030771,0,20,70,83,31,66,70,60,38,71,65,25
SD1030772,1,61,66,74,74,63,72,75,72,79,66,71
SD1030773,0,84,66,78,63,65,76,74,72,79,71,62
SD1030774,0,74,60,75,60,67,77,69,68,74,79,61
SD1030775,0,77,84,92,93,77,90,90,93,79,75,98
SD1030776,0,28,60,72,60,60,75,42,36,62,66,60
SD1030777,0,78,79,83,87,79,84,80,73,60,80,71
SD1030778,0,70,73,77,66,65,70,70,71,74,81,63
SD1030779,1,76,72,90,85,63,89,82,86,65,78,72
SD1030780,0,89,81,89,94,79,84,100,100,76,76,93
SD1030781,0,85,79,81,72,63,73,85,78,70,68,66
SD1030782,0,81,60,78,90,66,72,70,67,76,73,77
SD1030783,0,28,66,82,60,60,74,46,31,68,70,60
SD1030784,1,29,66,65,60,66,73,68,62,65,79,60
SD1030785,0,79,81,91,94,69,72,74,83,70,82,82
SD1030786,1,60,70,74,60,69,76,69,71,68,81,72
SD1030787,1,63,77,0,0,73,0,74,75,85,87,2
SD1030788,0,64,67,83,70,71,72,73,72,61,70,64
SD1030789,0,68,78,93,100,77,78,86,83,60,72,92
SD1030790,1,26,60,62,5,60,45,52,28,61,68,5
SD1030791,0,86,73,79,73,70,75,85,83,70,70,77
SD1030792,1,64,75,75,80,72,82,75,79,60,69,66
SD1030793,0,60,67,80,34,61,82,62,60,68,67,60
SD1030794,0,72,72,86,88,65,76,81,71,79,75,73
SD1030797,1,68,76,85,89,74,76,72,79,81,74,77
SD1030798,0,75,86,84,84,84,89,80,99,60,79,99
SD1030799,0,88,69,81,84,70,85,84,78,72,74,70
SD1030800,0,61,66,83,60,60,71,78,73,65,75,62
SD1030801,0,88,81,80,72,62,74,84,75,90,72,70
SD1030802,1,69,65,70,28,62,86,61,71,64,67,60
SD1030803,0,82,83,88,82,67,81,100,91,71,69,78
SD1030804,1,60,60,66,44,68,54,65,60,60,76,27
SD1030805,0,60,69,78,13,65,75,73,37,90,68,60
SD1030806,0,37,60,71,45,60,56,60,24,73,70,23
SD1030807,0,63,76,83,75,73,75,91,84,71,76,71
SD1030808,0,72,78,90,61,78,84,100,92,90,72,22
SD1030809,0,31,70,87,60,67,79,72,60,75,73,75
SD1030810,0,60,62,74,32,61,77,60,34,78,76,31
SD1030811,1,60,72,81,38,67,75,76,74,60,74,60
SD1030812,0,96,82,75,92,70,92,94,72,92,74,70
SD1030813,1,60,75,82,60,66,75,74,74,92,69,62
SD1030814,0,99,76,87,100,86,81,96,100,78,87,90
SD1030835,1,88,84,95,100,83,89,70,75,96,85,99
SD1030836,0,41,74,49,43,32,53,41,6,68,55,14
SD1030837,0,83,77,65,88,85,88,77,64,77,88,62
SD1030838,0,65,82,72,38,91,81,69,62,70,86,60
SD1030839,0,73,90,86,84,85,87,86,86,71,90,74
SD1030840,1,76,85,67,60,88,73,91,80,67,80,60
SD1030841,0,60,76,63,66,94,75,75,69,61,85,66
SD1030842,0,48,74,60,15,45,50,54,16,71,55,24
SD1030843,0,75,87,79,69,85,70,89,82,64,81,60
SD1030844,0,69,79,77,77,76,79,80,82,68,82,85
SD1030847,0,74,71,70,63,84,71,75,66,61,85,60
SD1030848,0,86,77,88,88,85,88,97,91,91,85,81
SD1030849,0,60,76,68,60,61,70,60,27,73,72,60
SD1030850,1,61,75,64,60,73,74,69,60,65,79,60
SD1030851,0,91,92,88,94,70,89,93,81,78,73,95
SD1030852,0,60,81,60,60,88,68,73,55,74,78,40
SD1030853,0,64,81,85,80,73,78,75,92,87,85,76
SD1030854,0,28,74,74,60,60,75,67,60,65,87,45
SD1030855,0,78,90,69,78,88,74,88,76,66,75,77
SD1030857,1,29,72,60,9,68,73,51,22,60,69,20
SD1030858,1,77,85,69,82,66,74,72,76,66,76,74
SD1030859,0,74,84,88,71,91,80,92,71,69,72,80
SD1030860,0,60,88,86,88,88,73,85,76,66,78,81
SD1030861,1,60,83,66,63,77,76,76,67,65,74,63
SD1030862,1,60,81,60,9,68,78,74,68,64,76,60
SD1030863,1,77,78,61,33,83,75,60,60,87,83,60
SD1030864,0,77,86,85,83,82,79,68,76,60,77,60
SD1030865,0,22,77,60,26,64,72,60,49,63,73,60
SD1030866,1,85,85,60,75,76,78,95,76,60,72,68
SD1030867,0,77,79,80,78,79,85,75,71,70,71,77
SD1030868,0,76,86,92,80,89,82,75,55,80,81,71
SD1030870,0,80,77,75,70,85,75,72,76,79,69,88
SD1030872,1,69,81,92,91,87,89,100,100,65,81,98
SD1030874,0,40,78,60,16,78,57,64,24,75,74,14
SD1030875,0,68,84,67,77,87,75,84,83,64,75,67
SD1030876,0,60,82,77,72,79,82,82,73,76,81,68
SD1030877,1,80,78,65,60,70,67,61,65,73,75,73
SD1030878,1,72,87,74,79,85,84,98,94,65,86,77
SD1030879,1,60,78,74,60,81,67,51,35,79,82,44
SD1030880,0,60,80,61,60,87,71,75,46,68,73,42
